"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","A001","A002","A003","A004","A005","A006","A007","A008","A013","A014","A015","A016","A020_CP","A020","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
496,,,"base","interview","ger",2023-12-07 12:30:04,2,1,2,1,2,1,2,1,2,1,2,1,0,28528952,10,3,2,8,2,25,10,4,15,9,8,17,6,119,,2023-12-07 12:32:03,1,0,13,13,0,0,201
500,,,"base","interview","ger",2023-12-08 15:20:11,2,1,2,1,2,1,3,1,2,1,2,3,0,24594354,84,4,7,2,3,5,4,18,5,6,3,3,11,155,,2023-12-08 15:22:46,1,0,13,13,0,0,229
501,,,"base","interview","eng",2023-12-11 10:14:43,2,1,2,1,2,1,2,1,2,1,2,1,0,64211298,17,4,3,4,2,3,24,6,5,4,8,7,20,107,,2023-12-11 10:16:30,1,0,13,13,0,0,234
502,,,"base","interview","ger",2023-12-12 12:11:43,2,1,2,1,3,3,2,1,3,1,3,3,0,44819425,66,36,24,5,21,77,49,40,24,50,17,58,30,424,,2023-12-12 12:20:00,1,0,13,13,0,0,054
504,,,"base","interview","eng",2023-12-12 12:47:01,2,1,2,1,1,1,2,2,1,1,1,1,0,59535281,36,16,3,2,4,9,7,6,14,17,3,9,30,156,,2023-12-12 12:49:37,1,0,13,13,0,0,194
505,,,"base","interview","ger",2023-12-12 12:47:15,1,2,1,2,3,2,3,2,1,3,3,3,0,96119191,91,8,3,4,7,20,17,31,24,23,15,30,18,291,,2023-12-12 12:52:06,1,0,13,13,0,0,109
506,,,"base","interview","ger",2023-12-12 12:47:27,3,1,2,1,2,1,3,1,2,1,2,1,0,85675919,92,786,5,5,8,22,17,35,18,25,29,42,39,352,,2023-12-12 13:06:10,1,0,13,13,0,0,075
507,,,"base","interview","ger",2023-12-12 12:48:53,2,1,2,1,2,1,3,3,2,3,2,3,0,29787672,107,25,9,9,24,27,35,387,46,22,42,125,58,331,,2023-12-12 13:04:09,1,0,13,13,0,0,048
508,,,"base","interview","ger",2023-12-12 12:53:47,2,2,2,2,1,,,,,,,,,,704,8,144,5,56,20,,,,,,,,113,,2023-12-12 13:09:24,0,0,6,6,0,0,077
509,,,"base","interview","ger",2023-12-12 13:05:52,2,1,2,1,3,3,3,3,3,3,3,3,0,35789897,34,63,17,10,9,28,24,47,35,24,16,15,14,288,,2023-12-12 13:11:28,1,0,13,13,0,0,076
510,,,"base","interview","ger",2023-12-12 13:08:56,2,1,2,1,3,3,1,3,3,2,2,,0,83671657,70,9,7,4,4,20,26,10,21,27,8,16,,222,,2023-12-12 13:12:38,0,0,12,12,0,0,122
511,,,"base","interview","ger",2023-12-12 13:13:58,2,1,2,1,3,3,3,1,2,1,2,1,0,89995415,4,7,5,5,5,29,36,17,19,16,8,9,7,167,,2023-12-12 13:16:45,1,0,13,13,0,0,145
512,,,"base","interview","ger",2023-12-12 13:18:14,2,1,2,1,2,2,1,3,3,1,2,1,0,42541352,21,16,13,9,15,22,16,14,22,31,35,25,26,242,,2023-12-12 13:22:39,1,0,13,13,0,0,091
513,,,"base","interview","ger",2023-12-12 13:19:19,1,2,1,2,1,1,1,1,1,2,1,2,0,45937741,3,34,15,4,5,5,7,7,7,15,12,6,17,137,,2023-12-12 13:21:36,1,0,13,13,0,0,177
514,,,"base","interview","ger",2023-12-12 14:21:41,1,2,1,2,2,2,3,3,1,2,1,2,0,37578469,118,9,11,11,8,49,25,40,69,8,31,12,10,316,,2023-12-12 14:28:22,1,0,13,13,0,0,088
515,,,"base","interview","ger",2023-12-12 14:25:00,2,1,2,1,3,3,3,3,2,1,2,3,0,99662462,25,11,8,4,6,18,18,19,21,6,16,15,11,178,,2023-12-12 14:27:58,1,0,13,13,0,0,135
516,,,"base","interview","ger",2023-12-12 20:21:16,2,1,2,1,3,1,1,1,3,1,2,1,0,73518955,67,11,5,8,4,7,16,9,6,10,9,7,5,164,,2023-12-12 20:24:00,1,0,13,13,0,0,176
517,,,"base","interview","ger",2023-12-13 08:50:02,2,1,2,1,2,3,3,3,3,3,3,1,0,43444745,66,67,3,2,3,23,13,8,10,6,7,9,10,175,,2023-12-13 08:53:49,1,0,13,13,0,0,174
518,,,"base","interview","ger",2023-12-13 14:19:58,2,1,2,1,1,3,3,2,2,1,1,1,0,59595242,85,12,7,4,6,28,15,17,8,6,3,17,2,210,,2023-12-13 14:23:28,1,0,13,13,0,0,158
519,,,"base","interview","ger",2023-12-13 14:46:03,3,1,1,1,1,3,3,3,2,3,3,2,0,13494159,63,39,8,13,13,13,31,33,20,8,12,18,11,282,,2023-12-13 14:50:45,1,0,13,13,0,0,093
520,,,"base","interview","ger",2023-12-14 07:59:52,2,1,2,1,3,3,3,1,3,1,3,1,0,33652113,13,12,9,12,13,20,8,40,10,19,15,20,14,205,,2023-12-14 08:03:18,1,0,13,13,0,0,115
521,,,"base","interview","ger",2023-12-14 11:30:54,2,1,2,1,1,1,3,3,1,2,1,3,0,79538226,63,24,16,9,12,19,18,12,17,18,9,25,13,255,,2023-12-14 11:35:09,1,0,13,13,0,0,092
522,,,"base","interview","ger",2023-12-18 09:17:01,2,2,1,2,3,3,1,1,3,1,3,2,0,35662162,61,11,6,5,2,18,23,23,6,27,8,12,23,225,,2023-12-18 09:20:46,1,0,13,13,0,0,132
523,,,"base","interview","eng",2023-12-18 18:43:55,2,1,2,1,2,1,2,1,2,1,2,1,0,44336577,12,5,8,10,5,11,18,5,6,14,7,5,12,118,,2023-12-18 18:45:53,1,0,13,13,0,0,186
524,,,"base","interview","eng",2023-12-18 21:04:44,1,2,2,1,3,1,2,1,1,2,3,1,0,76544734,37,27,15,39,24,21,29,37,8,39,9,33,19,306,,2023-12-18 21:10:21,1,0,13,13,0,0,077
525,,,"base","interview","ger",2023-12-19 13:34:31,2,2,2,3,1,3,1,2,2,3,2,3,0,12441733,66,14,5,12,16,24,23,18,10,5,18,30,22,263,,2023-12-19 13:38:54,1,0,13,13,0,0,104
526,,,"base","interview","ger",2023-12-20 08:16:27,2,1,2,1,3,3,1,3,1,1,2,3,0,24781245,73,19,7,5,4,21,39,35,15,16,18,9,19,280,,2023-12-20 08:21:07,1,0,13,13,0,0,101
527,,,"base","interview","ger",2024-01-03 13:54:19,1,2,1,2,2,2,1,3,,,,,,,37,5,6,3,3,10,17,8,19,,,,,108,,2024-01-03 13:56:07,0,0,9,9,0,0,189
530,,,"base","interview","ger",2024-01-08 11:32:34,2,1,2,1,2,3,1,1,3,2,2,1,0,85539195,73,25,11,9,10,15,33,54,19,17,36,22,42,342,,2024-01-08 11:38:40,1,0,13,13,0,0,069
531,,,"base","interview","ger",2024-01-08 11:59:56,2,1,3,1,2,3,3,3,2,1,2,2,0,69134487,11,9,8,8,3,4,8,7,7,5,5,2,3,80,,2024-01-08 12:01:16,1,0,13,13,0,0,232
532,,,"base","interview","ger",2024-01-08 12:11:06,2,2,1,2,1,2,2,1,2,2,1,1,0,55849594,82,22,4,4,6,22,8,4,11,6,23,4,5,201,,2024-01-08 12:14:27,1,0,13,13,0,0,177
534,,,"base","interview","ger",2024-01-08 12:36:43,2,3,2,1,3,2,2,2,2,2,2,3,0,51544439,15,20,11,8,9,22,7,11,10,17,12,13,19,174,,2024-01-08 12:39:37,1,0,13,13,0,0,129
536,,,"base","interview","ger",2024-01-08 14:17:48,2,1,2,1,2,1,2,1,2,1,1,3,0,65447874,6,7,6,7,7,17,32,18,11,6,47,14,31,174,,2024-01-08 14:21:17,1,0,13,13,0,0,131
537,,,"base","interview","ger",2024-01-08 15:27:12,2,1,2,1,2,1,2,1,2,1,2,1,0,62291648,113,26,12,5,32,20,21,25,10,17,8,32,77,310,,2024-01-08 15:33:50,1,0,13,13,0,0,082
538,,,"base","interview","ger",2024-01-08 16:29:24,2,1,2,1,2,2,2,1,1,1,3,3,0,21156533,284,11,18,12,9,16,16,16,8,7,7,18,11,214,,2024-01-08 16:36:37,1,0,13,13,0,0,114
539,,,"base","interview","ger",2024-01-08 18:59:57,2,1,2,1,2,3,3,1,2,3,1,3,0,99944892,102,18,5,5,6,30,42,52,12,45,54,59,65,402,,2024-01-08 19:08:12,1,0,13,13,0,0,072
540,,,"base","interview","eng",2024-01-08 19:12:34,2,1,2,1,1,3,3,3,1,1,2,1,0,47313922,530,6,10,8,13,12,59,31,31,8,14,12,12,242,,2024-01-08 19:25:00,1,0,13,13,0,0,102
541,,,"base","interview","ger",2024-01-10 16:16:16,2,1,2,2,,,,,,,,,,,130,36,27,14,17,,,,,,,,,205,,2024-01-10 16:20:00,0,0,5,5,0,0,043
542,,,"base","interview","ger",2024-01-10 16:20:19,2,2,2,2,3,3,2,3,2,1,3,1,0,61141576,5,30,6,21,7,39,47,45,37,30,9,31,13,307,,2024-01-10 16:25:39,1,0,13,13,0,0,087
543,,,"base","interview","ger",2024-01-10 21:10:07,2,1,2,1,2,2,1,1,2,2,2,2,0,15723994,9,16,11,10,2,15,22,14,5,10,5,33,13,165,,2024-01-10 21:12:52,1,0,13,13,0,0,154